epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,31.416579,31.9335,0.239718,3.00e-05,19.2,1
2,30.558544,31.4348,0.307174,3.00e-05,16.1,1
3,29.862306,31.0808,0.313446,3.00e-05,15.5,1
4,29.321974,30.2395,0.355519,3.00e-05,15.5,1
5,28.899503,29.4464,0.342366,3.00e-05,15.6,1
6,28.679244,29.7448,0.377498,3.00e-05,15.6,0
7,28.374073,29.2181,0.391942,3.00e-05,15.5,1
8,28.263584,30.2310,0.396401,3.00e-05,15.5,0
9,28.033991,29.3554,0.430773,3.00e-05,15.5,0
10,28.081195,28.8426,0.457894,3.00e-05,15.5,1
11,27.803165,28.5470,0.447674,3.00e-05,15.5,1
12,27.797204,29.0647,0.503127,3.00e-05,16.4,0
13,27.628648,28.8434,0.487321,3.00e-05,15.7,0
14,27.424345,28.2840,0.519887,3.00e-05,15.6,1
15,27.301356,28.0023,0.549544,3.00e-05,15.6,1
16,27.038367,28.5311,0.444602,3.00e-05,15.6,0
17,26.993895,27.5095,0.562328,3.00e-05,15.6,1
18,26.788109,28.2797,0.569742,3.00e-05,15.5,0
19,26.846995,28.9362,0.604604,3.00e-05,15.6,0
20,26.407508,27.0210,0.622437,3.00e-05,15.6,1
21,26.211514,26.9057,0.646345,3.00e-05,15.5,1
22,26.120869,28.4413,0.598248,3.00e-05,15.5,0
23,26.060994,27.3577,0.616664,3.00e-05,15.7,0
24,25.666624,28.3349,0.591170,3.00e-05,15.6,0
25,25.609905,30.8235,0.513451,3.00e-05,15.6,0
26,25.551328,26.4792,0.655641,3.00e-05,15.7,1
27,25.250950,27.1536,0.638930,3.00e-05,15.5,0
28,24.981995,26.3993,0.695929,3.00e-05,15.5,1
29,24.701827,25.6611,0.647860,3.00e-05,15.6,1
30,24.590911,24.4988,0.713025,3.00e-05,15.5,1
31,24.521433,28.1637,0.713415,3.00e-05,15.5,0
32,24.223301,26.8013,0.684818,3.00e-05,15.5,0
33,24.058051,24.6308,0.727087,3.00e-05,15.5,0
34,23.581995,23.7580,0.728768,3.00e-05,16.8,1
35,23.443894,23.6370,0.752138,3.00e-05,15.5,1
36,23.354345,23.7173,0.747590,3.00e-05,15.5,0
37,23.126805,23.3299,0.767802,3.00e-05,15.5,1
38,22.537467,27.4829,0.743729,3.00e-05,15.5,0
39,22.656641,24.4821,0.695581,3.00e-05,15.5,0
40,22.082234,23.1366,0.725904,3.00e-05,15.5,1
41,22.279650,22.3853,0.745744,3.00e-05,15.5,1
42,21.638145,21.5885,0.757374,3.00e-05,15.5,1
43,21.144858,22.7907,0.790428,3.00e-05,15.5,0
44,21.259101,20.4144,0.789307,3.00e-05,15.6,1
45,21.136778,23.2642,0.759096,3.00e-05,15.6,0
46,20.597351,20.6565,0.797872,3.00e-05,15.5,0
47,20.251260,31.9756,0.695421,3.00e-05,15.5,0
48,20.281118,27.7740,0.749888,3.00e-05,15.5,0
49,20.365309,21.1577,0.793701,3.00e-05,15.5,0
50,19.786136,18.4636,0.803273,3.00e-05,15.5,1
