2026-03-25 10:03:02 | Args: {'train_csv': '../data/train.csv', 'val_csv': '../data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'output': 'best_model.pt', 'cache': False, 'loss': 'mae', 'patience': 10, 'log_dir': 'logs'}
2026-03-25 10:03:02 | Device: cuda
2026-03-25 10:03:03 | Model parameters: 1,197,601
2026-03-25 10:03:24 | Epoch   1/50 | Loss: 31.4166 | MAE: 31.93 CL | r: 0.2397 | LR: 3.00e-05 | 19.2s *
2026-03-25 10:03:41 | Epoch   2/50 | Loss: 30.5585 | MAE: 31.43 CL | r: 0.3072 | LR: 3.00e-05 | 16.1s *
2026-03-25 10:03:56 | Epoch   3/50 | Loss: 29.8623 | MAE: 31.08 CL | r: 0.3134 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:04:12 | Epoch   4/50 | Loss: 29.3220 | MAE: 30.24 CL | r: 0.3555 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:04:27 | Epoch   5/50 | Loss: 28.8995 | MAE: 29.45 CL | r: 0.3424 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:04:43 | Epoch   6/50 | Loss: 28.6792 | MAE: 29.74 CL | r: 0.3775 | LR: 3.00e-05 | 15.6s
2026-03-25 10:04:58 | Epoch   7/50 | Loss: 28.3741 | MAE: 29.22 CL | r: 0.3919 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:05:14 | Epoch   8/50 | Loss: 28.2636 | MAE: 30.23 CL | r: 0.3964 | LR: 3.00e-05 | 15.5s
2026-03-25 10:05:29 | Epoch   9/50 | Loss: 28.0340 | MAE: 29.36 CL | r: 0.4308 | LR: 3.00e-05 | 15.5s
2026-03-25 10:05:45 | Epoch  10/50 | Loss: 28.0812 | MAE: 28.84 CL | r: 0.4579 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:06:00 | Epoch  11/50 | Loss: 27.8032 | MAE: 28.55 CL | r: 0.4477 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:06:17 | Epoch  12/50 | Loss: 27.7972 | MAE: 29.06 CL | r: 0.5031 | LR: 3.00e-05 | 16.4s
2026-03-25 10:06:32 | Epoch  13/50 | Loss: 27.6286 | MAE: 28.84 CL | r: 0.4873 | LR: 3.00e-05 | 15.7s
2026-03-25 10:06:48 | Epoch  14/50 | Loss: 27.4243 | MAE: 28.28 CL | r: 0.5199 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:07:04 | Epoch  15/50 | Loss: 27.3014 | MAE: 28.00 CL | r: 0.5495 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:07:19 | Epoch  16/50 | Loss: 27.0384 | MAE: 28.53 CL | r: 0.4446 | LR: 3.00e-05 | 15.6s
2026-03-25 10:07:35 | Epoch  17/50 | Loss: 26.9939 | MAE: 27.51 CL | r: 0.5623 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:07:50 | Epoch  18/50 | Loss: 26.7881 | MAE: 28.28 CL | r: 0.5697 | LR: 3.00e-05 | 15.5s
2026-03-25 10:08:06 | Epoch  19/50 | Loss: 26.8470 | MAE: 28.94 CL | r: 0.6046 | LR: 3.00e-05 | 15.6s
2026-03-25 10:08:22 | Epoch  20/50 | Loss: 26.4075 | MAE: 27.02 CL | r: 0.6224 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:08:37 | Epoch  21/50 | Loss: 26.2115 | MAE: 26.91 CL | r: 0.6463 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:08:53 | Epoch  22/50 | Loss: 26.1209 | MAE: 28.44 CL | r: 0.5982 | LR: 3.00e-05 | 15.5s
2026-03-25 10:09:08 | Epoch  23/50 | Loss: 26.0610 | MAE: 27.36 CL | r: 0.6167 | LR: 3.00e-05 | 15.7s
2026-03-25 10:09:24 | Epoch  24/50 | Loss: 25.6666 | MAE: 28.33 CL | r: 0.5912 | LR: 3.00e-05 | 15.6s
2026-03-25 10:09:40 | Epoch  25/50 | Loss: 25.6099 | MAE: 30.82 CL | r: 0.5135 | LR: 3.00e-05 | 15.6s
2026-03-25 10:09:55 | Epoch  26/50 | Loss: 25.5513 | MAE: 26.48 CL | r: 0.6556 | LR: 3.00e-05 | 15.7s *
2026-03-25 10:10:11 | Epoch  27/50 | Loss: 25.2509 | MAE: 27.15 CL | r: 0.6389 | LR: 3.00e-05 | 15.5s
2026-03-25 10:10:26 | Epoch  28/50 | Loss: 24.9820 | MAE: 26.40 CL | r: 0.6959 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:10:42 | Epoch  29/50 | Loss: 24.7018 | MAE: 25.66 CL | r: 0.6479 | LR: 3.00e-05 | 15.6s *
2026-03-25 10:10:57 | Epoch  30/50 | Loss: 24.5909 | MAE: 24.50 CL | r: 0.7130 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:11:13 | Epoch  31/50 | Loss: 24.5214 | MAE: 28.16 CL | r: 0.7134 | LR: 3.00e-05 | 15.5s
2026-03-25 10:11:28 | Epoch  32/50 | Loss: 24.2233 | MAE: 26.80 CL | r: 0.6848 | LR: 3.00e-05 | 15.5s
2026-03-25 10:11:44 | Epoch  33/50 | Loss: 24.0581 | MAE: 24.63 CL | r: 0.7271 | LR: 3.00e-05 | 15.5s
2026-03-25 10:12:01 | Epoch  34/50 | Loss: 23.5820 | MAE: 23.76 CL | r: 0.7288 | LR: 3.00e-05 | 16.8s *
2026-03-25 10:12:16 | Epoch  35/50 | Loss: 23.4439 | MAE: 23.64 CL | r: 0.7521 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:12:32 | Epoch  36/50 | Loss: 23.3543 | MAE: 23.72 CL | r: 0.7476 | LR: 3.00e-05 | 15.5s
2026-03-25 10:12:47 | Epoch  37/50 | Loss: 23.1268 | MAE: 23.33 CL | r: 0.7678 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:13:03 | Epoch  38/50 | Loss: 22.5375 | MAE: 27.48 CL | r: 0.7437 | LR: 3.00e-05 | 15.5s
2026-03-25 10:13:18 | Epoch  39/50 | Loss: 22.6566 | MAE: 24.48 CL | r: 0.6956 | LR: 3.00e-05 | 15.5s
2026-03-25 10:13:34 | Epoch  40/50 | Loss: 22.0822 | MAE: 23.14 CL | r: 0.7259 | LR: 3.00e-05 | 15.5s *
2026-03-25 10:13:49 | Epoch  41/50 | Loss: 22.2797 | MAE: 22.39 CL | r: 0.7457 | LR: 3.00e-05 | 15.5s *
