2026-04-10 13:04:22 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 10, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-10 13:04:22 | Device: cuda
2026-04-10 13:04:23 | Model parameters: 1,197,601
2026-04-10 13:04:34 | Epoch   1/50 | Loss: 31.3979 | MAE: 32.00 CL | r: 0.2287 | LR: 3.00e-05 | 7.9s *
2026-04-10 13:04:40 | Epoch   2/50 | Loss: 30.6000 | MAE: 31.38 CL | r: 0.2822 | LR: 3.00e-05 | 5.9s *
2026-04-10 13:04:46 | Epoch   3/50 | Loss: 29.9229 | MAE: 30.32 CL | r: 0.3047 | LR: 3.00e-05 | 5.9s *
2026-04-10 13:04:51 | Epoch   4/50 | Loss: 29.3746 | MAE: 30.61 CL | r: 0.3255 | LR: 3.00e-05 | 5.9s
2026-04-10 13:04:57 | Epoch   5/50 | Loss: 29.1653 | MAE: 29.82 CL | r: 0.3131 | LR: 3.00e-05 | 5.9s *
2026-04-10 13:05:03 | Epoch   6/50 | Loss: 28.7467 | MAE: 29.32 CL | r: 0.3600 | LR: 3.00e-05 | 5.9s *
2026-04-10 13:05:09 | Epoch   7/50 | Loss: 28.6046 | MAE: 30.52 CL | r: 0.3801 | LR: 3.00e-05 | 5.9s
2026-04-10 13:05:15 | Epoch   8/50 | Loss: 28.4796 | MAE: 29.35 CL | r: 0.3821 | LR: 3.00e-05 | 5.9s
2026-04-10 13:05:21 | Epoch   9/50 | Loss: 28.2792 | MAE: 29.45 CL | r: 0.4058 | LR: 3.00e-05 | 6.0s
2026-04-10 13:05:27 | Epoch  10/50 | Loss: 28.2037 | MAE: 29.13 CL | r: 0.3729 | LR: 3.00e-05 | 6.0s *
2026-04-10 13:05:33 | Epoch  11/50 | Loss: 28.0574 | MAE: 28.77 CL | r: 0.4682 | LR: 3.00e-05 | 6.0s *
2026-04-10 13:05:39 | Epoch  12/50 | Loss: 27.8591 | MAE: 28.71 CL | r: 0.4719 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:05:45 | Epoch  13/50 | Loss: 27.7582 | MAE: 30.14 CL | r: 0.4577 | LR: 3.00e-05 | 6.1s
2026-04-10 13:05:51 | Epoch  14/50 | Loss: 27.5918 | MAE: 29.24 CL | r: 0.4856 | LR: 3.00e-05 | 6.1s
2026-04-10 13:05:58 | Epoch  15/50 | Loss: 27.5370 | MAE: 29.64 CL | r: 0.5046 | LR: 3.00e-05 | 6.1s
2026-04-10 13:06:04 | Epoch  16/50 | Loss: 27.2085 | MAE: 28.29 CL | r: 0.5316 | LR: 3.00e-05 | 6.0s *
2026-04-10 13:06:10 | Epoch  17/50 | Loss: 27.2882 | MAE: 28.25 CL | r: 0.5380 | LR: 3.00e-05 | 6.0s *
2026-04-10 13:06:16 | Epoch  18/50 | Loss: 26.9363 | MAE: 27.65 CL | r: 0.5518 | LR: 3.00e-05 | 6.1s *
2026-04-10 13:06:22 | Epoch  19/50 | Loss: 26.6070 | MAE: 27.78 CL | r: 0.6153 | LR: 3.00e-05 | 6.1s
