epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,31.397852,31.9981,0.228726,3.00e-05,7.9,1
2,30.600024,31.3790,0.282221,3.00e-05,5.9,1
3,29.922924,30.3230,0.304701,3.00e-05,5.9,1
4,29.374576,30.6085,0.325468,3.00e-05,5.9,0
5,29.165350,29.8154,0.313113,3.00e-05,5.9,1
6,28.746666,29.3235,0.360041,3.00e-05,5.9,1
7,28.604551,30.5189,0.380132,3.00e-05,5.9,0
8,28.479584,29.3524,0.382089,3.00e-05,5.9,0
9,28.279176,29.4470,0.405759,3.00e-05,6.0,0
10,28.203674,29.1335,0.372919,3.00e-05,6.0,1
11,28.057448,28.7678,0.468207,3.00e-05,6.0,1
12,27.859099,28.7104,0.471880,3.00e-05,6.1,1
13,27.758234,30.1404,0.457654,3.00e-05,6.1,0
14,27.591825,29.2447,0.485556,3.00e-05,6.1,0
15,27.537015,29.6417,0.504555,3.00e-05,6.1,0
16,27.208502,28.2890,0.531629,3.00e-05,6.0,1
17,27.288184,28.2509,0.538004,3.00e-05,6.0,1
18,26.936327,27.6493,0.551841,3.00e-05,6.1,1
19,26.606967,27.7822,0.615334,3.00e-05,6.1,0
20,26.577682,27.4420,0.560270,3.00e-05,6.1,1
21,26.523268,27.4535,0.613695,3.00e-05,6.1,0
22,26.405223,27.3933,0.632959,3.00e-05,6.1,1
23,26.226260,29.1974,0.558184,3.00e-05,6.1,0
24,25.845107,27.0525,0.648938,3.00e-05,6.0,1
25,25.787490,26.6578,0.601010,3.00e-05,6.0,1
26,25.734453,26.7432,0.654593,3.00e-05,6.0,0
27,25.409872,25.7382,0.676268,3.00e-05,6.1,1
28,25.244677,26.5571,0.628453,3.00e-05,6.1,0
29,25.183914,26.9896,0.668249,3.00e-05,6.1,0
30,24.896303,26.5374,0.645073,3.00e-05,6.1,0
31,24.417590,25.5542,0.685140,3.00e-05,6.1,1
32,24.349002,24.8286,0.710200,3.00e-05,6.0,1
33,24.341846,26.2155,0.695969,3.00e-05,6.1,0
34,23.873953,25.9307,0.712338,3.00e-05,6.1,0
35,23.649816,25.3091,0.722878,3.00e-05,6.1,0
36,23.594306,24.2149,0.710322,3.00e-05,6.0,1
37,22.980647,26.0278,0.725010,3.00e-05,6.1,0
38,23.336407,31.5542,0.724369,3.00e-05,6.1,0
39,22.653155,23.1764,0.736315,3.00e-05,6.0,1
40,22.354149,22.8862,0.762307,3.00e-05,6.1,1
41,22.438342,23.1590,0.756911,3.00e-05,6.1,0
42,22.105353,30.5065,0.724656,3.00e-05,6.0,0
43,22.073873,21.7317,0.762682,3.00e-05,6.1,1
44,21.743814,25.6794,0.704740,3.00e-05,6.1,0
45,21.160175,31.4717,0.712335,3.00e-05,6.1,0
46,20.988478,20.2037,0.788188,3.00e-05,6.1,1
47,20.915424,25.7489,0.728408,3.00e-05,6.1,0
48,20.367913,23.3036,0.734557,3.00e-05,6.0,0
49,20.582848,22.6578,0.779271,3.00e-05,6.0,0
50,20.079703,19.7667,0.790108,3.00e-05,6.1,1
