feature,gain
feature_6391,0.018910624
feature_2569,0.017013224
feature_6288,0.013064103
feature_5499,0.010177345
feature_5554,0.010012573
feature_3957,0.009855777
feature_1002,0.009153005
feature_4764,0.008321113
feature_2547,0.007741577
feature_1177,0.0076443655
feature_3853,0.0065888367
feature_6133,0.006418186
feature_0642,0.0061080027
feature_1473,0.005977186
feature_5700,0.005938107
feature_6051,0.0059240884
feature_0793,0.0059205727
feature_4907,0.0057619894
feature_1981,0.0057587186
feature_2357,0.0057513136
feature_4127,0.005478277
feature_3800,0.005450417
feature_4652,0.005422584
feature_3858,0.005361068
feature_2566,0.0052466267
feature_5742,0.005233722
feature_3067,0.0052171233
feature_6370,0.005174288
feature_0358,0.005140985
feature_2676,0.0050525125
feature_4627,0.005048157
feature_5381,0.005009688
feature_4091,0.004909082
feature_5238,0.0049041547
feature_2561,0.004873712
feature_2804,0.004727138
feature_1279,0.0047007054
feature_4645,0.0046665394
feature_2654,0.004506637
feature_4909,0.0044747805
feature_1435,0.004472829
feature_2860,0.0044659697
feature_5226,0.0044294936
feature_4605,0.004397275
feature_1533,0.004363602
feature_3367,0.0043476853
feature_3020,0.0042551537
feature_0499,0.0042367647
feature_5869,0.0041839513
feature_4251,0.0041549117
feature_4569,0.0041131387
feature_5659,0.0040987246
feature_1190,0.004090869
feature_5468,0.0040754345
feature_6260,0.004057076
feature_3842,0.0040401625
feature_2899,0.0039419946
feature_5655,0.0038540137
feature_2833,0.0038399715
feature_4993,0.0038115878
feature_4334,0.003791486
feature_6394,0.0037879762
feature_5623,0.0036209165
feature_1766,0.0036076214
feature_2069,0.0035946579
feature_6001,0.0035565824
feature_0607,0.0035089916
feature_4020,0.0035077534
feature_4369,0.0034534966
feature_2626,0.0033956415
feature_1632,0.003325087
feature_1620,0.0033199596
feature_2243,0.0033055833
feature_5091,0.0032988144
feature_3665,0.0032973967
feature_0022,0.0032972165
feature_5285,0.0032943035
feature_0125,0.0032676407
feature_3785,0.0032615075
feature_0574,0.0032507882
feature_1384,0.0032382677
feature_5675,0.0032190438
feature_0305,0.0031976271
feature_2303,0.0031648807
feature_0935,0.003158909
feature_2841,0.0031415403
feature_2092,0.0031273514
feature_3204,0.0031176338
feature_3136,0.0031163725
feature_4699,0.0031107771
feature_5848,0.0030854216
feature_5156,0.0030448064
feature_4139,0.0030156095
feature_2831,0.0030072953
feature_1147,0.0030007141
feature_5201,0.0029831037
feature_1140,0.002951792
feature_5654,0.0029343965
feature_5800,0.002905498
feature_4854,0.0028507253
feature_2489,0.002849707
feature_0591,0.0028444885
feature_5671,0.0028327482
feature_6186,0.0027962707
feature_1285,0.0027793134
feature_1245,0.0027720246
feature_6156,0.002738278
feature_0363,0.0027259227
feature_3940,0.002723913
feature_3904,0.0027204605
feature_5233,0.0027002445
feature_2745,0.0026984925
feature_4639,0.0026861147
feature_0564,0.0026744816
feature_5177,0.0026739992
feature_0858,0.0026511159
feature_4672,0.0026326468
feature_6192,0.0026083856
feature_5597,0.002570972
feature_6373,0.002563341
feature_1199,0.0025458091
feature_4449,0.0025381532
feature_0112,0.002513291
feature_3754,0.0025132352
feature_3843,0.0024437862
feature_2066,0.0024263442
feature_3603,0.0024248327
feature_2322,0.0024213335
feature_3502,0.0024098055
feature_0880,0.00240048
feature_5478,0.0023981722
feature_5414,0.0023668979
feature_5880,0.0023650161
feature_1556,0.002353745
feature_5568,0.0023506342
feature_5289,0.002350575
feature_3073,0.0023461198
feature_3637,0.002326678
feature_2787,0.0023254536
feature_0419,0.0023119168
feature_2900,0.0023116197
feature_6099,0.0023079477
feature_5953,0.002307646
feature_1657,0.002302949
feature_4902,0.0022899413
feature_2264,0.0022836602
feature_5694,0.002214284
feature_4357,0.0022128213
feature_5132,0.002202343
feature_3082,0.0021869221
feature_3278,0.0021807295
feature_3672,0.0021729325
feature_5677,0.0021654961
feature_1522,0.0021649953
feature_5163,0.0021521933
feature_5814,0.0021503565
feature_1668,0.0021297445
feature_6225,0.0021286607
feature_5510,0.0021280565
feature_0456,0.0021232015
feature_1412,0.0021162832
feature_5505,0.0020979007
feature_5102,0.002093204
feature_5769,0.002087892
feature_6027,0.0020831975
feature_2063,0.0020476535
feature_4289,0.002040307
feature_1219,0.0020220184
feature_1901,0.002004778
feature_5688,0.0020013629
feature_5471,0.0019945677
feature_1593,0.00199374
feature_6586,0.0019836086
feature_4754,0.0019822684
feature_4568,0.0019803287
feature_0601,0.0019729303
feature_3378,0.0019687917
feature_5525,0.0019492735
feature_5793,0.0019431907
feature_0503,0.0019429888
feature_3389,0.0019302665
feature_2512,0.0019207944
feature_5543,0.0019164314
feature_2887,0.0019153274
feature_1767,0.0019070375
feature_2266,0.0018986778
feature_2122,0.0018964837
feature_4101,0.0018948565
feature_3329,0.0018938435
feature_5906,0.0018855357
feature_2925,0.0018838813
feature_3448,0.0018757432
feature_1039,0.0018752293
feature_4921,0.001868204
feature_3433,0.001868036
feature_5625,0.0018501478
feature_5855,0.0018469102
feature_6006,0.0018279265
feature_3926,0.001825418
feature_2851,0.0018128358
feature_0026,0.001779824
